Date : 2024-11-12 12:12:41
Directory : c:\Users\PC REPORTES\Desktop\Spring\api
Total : 82 files,  1418 codes, 50 comments, 429 blanks, all 1897 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |         80 |      1,407 |         54 |        426 |      1,887 |
| XML             |          1 |          9 |         -4 |          2 |          7 |
| Java Properties |          1 |          2 |          0 |          1 |          3 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |         82 |      1,418 |         50 |        429 |      1,897 |
| . (Files)                                                                                                                              |          1 |          9 |         -4 |          2 |          7 |
| src                                                                                                                                    |         81 |      1,409 |         54 |        427 |      1,890 |
| src\main                                                                                                                               |         81 |      1,409 |         54 |        427 |      1,890 |
| src\main\java                                                                                                                          |         80 |      1,407 |         54 |        426 |      1,887 |
| src\main\java\com                                                                                                                      |         80 |      1,407 |         54 |        426 |      1,887 |
| src\main\java\com\globalvia                                                                                                            |         80 |      1,407 |         54 |        426 |      1,887 |
| src\main\java\com\globalvia\genovias                                                                                                   |         80 |      1,407 |         54 |        426 |      1,887 |
| src\main\java\com\globalvia\genovias\api                                                                                               |         80 |      1,407 |         54 |        426 |      1,887 |
| src\main\java\com\globalvia\genovias\api (Files)                                                                                       |          1 |          0 |          0 |         -1 |         -1 |
| src\main\java\com\globalvia\genovias\api\auth                                                                                          |         13 |        379 |          1 |        124 |        504 |
| src\main\java\com\globalvia\genovias\api\auth\config                                                                                   |          2 |         97 |          0 |         25 |        122 |
| src\main\java\com\globalvia\genovias\api\auth\config\filters                                                                           |          1 |         42 |          0 |         14 |         56 |
| src\main\java\com\globalvia\genovias\api\auth\config\security                                                                          |          1 |         55 |          0 |         11 |         66 |
| src\main\java\com\globalvia\genovias\api\auth\controller                                                                               |          1 |         27 |          0 |         12 |         39 |
| src\main\java\com\globalvia\genovias\api\auth\dto                                                                                      |          4 |         31 |          0 |          9 |         40 |
| src\main\java\com\globalvia\genovias\api\auth\model                                                                                    |          2 |         58 |          0 |         16 |         74 |
