Date : 2024-11-12 12:12:41
Directory : c:\Users\PC REPORTES\Desktop\Spring\api
Total : 90 files,  2313 codes, 96 comments, 739 blanks, all 3148 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |         86 |      2,080 |         54 |        705 |      2,839 |
| XML             |          1 |        112 |          0 |         12 |        124 |
| Batch           |          1 |        108 |         26 |         16 |        150 |
| Java Properties |          2 |         13 |         16 |          6 |         35 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |         90 |      2,313 |         96 |        739 |      3,148 |
| . (Files)                                                                                                                              |          2 |        220 |         26 |         28 |        274 |
| .mvn                                                                                                                                   |          1 |          3 |         16 |          1 |         20 |
| .mvn\wrapper                                                                                                                           |          1 |          3 |         16 |          1 |         20 |
| src                                                                                                                                    |         87 |      2,090 |         54 |        710 |      2,854 |
| src\main                                                                                                                               |         86 |      2,081 |         54 |        705 |      2,840 |
| src\main\java                                                                                                                          |         85 |      2,071 |         54 |        700 |      2,825 |
| src\main\java\com                                                                                                                      |         85 |      2,071 |         54 |        700 |      2,825 |
| src\main\java\com\globalvia                                                                                                            |         85 |      2,071 |         54 |        700 |      2,825 |
| src\main\java\com\globalvia\genovias                                                                                                   |         85 |      2,071 |         54 |        700 |      2,825 |
| src\main\java\com\globalvia\genovias\api                                                                                               |         85 |      2,071 |         54 |        700 |      2,825 |
| src\main\java\com\globalvia\genovias\api (Files)                                                                                       |          1 |          9 |          0 |          4 |         13 |
| src\main\java\com\globalvia\genovias\api\auth                                                                                          |         13 |        379 |          1 |        124 |        504 |
| src\main\java\com\globalvia\genovias\api\auth\config                                                                                   |          2 |         97 |          0 |         25 |        122 |
| src\main\java\com\globalvia\genovias\api\auth\config\filters                                                                           |          1 |         42 |          0 |         14 |         56 |
| src\main\java\com\globalvia\genovias\api\auth\config\security                                                                          |          1 |         55 |          0 |         11 |         66 |
| src\main\java\com\globalvia\genovias\api\auth\controller                                                                               |          1 |         27 |          0 |         12 |         39 |
| src\main\java\com\globalvia\genovias\api\auth\dto                                                                                      |          4 |         31 |          0 |          9 |         40 |
| src\main\java\com\globalvia\genovias\api\auth\model                                                                                    |          2 |         58 |          0 |         16 |         74 |
| src\main\java\com\globalvia\genovias\api\auth\repository                                                                               |          2 |         16 |          0 |         12 |         28 |
| src\main\java\com\globalvia\genovias\api\auth\service                                                                                  |          1 |         89 |          1 |         35 |        125 |
| src\main\java\com\globalvia\genovias\api\auth\util                                                                                     |          1 |         61 |          0 |         15 |         76 |
| src\main\java\com\globalvia\genovias\api\config                                                                                        |          6 |        235 |          2 |         51 |        288 |
| src\main\java\com\globalvia\genovias\api\controller                                                                                    |          6 |        106 |          0 |         41 |        147 |
| src\main\java\com\globalvia\genovias\api\exceptions                                                                                    |          2 |         12 |          0 |          6 |         18 |
| src\main\java\com\globalvia\genovias\api\handler                                                                                       |          1 |         42 |          1 |         11 |         54 |
| src\main\java\com\globalvia\genovias\api\models                                                                                        |         28 |        844 |         36 |        252 |      1,132 |
| src\main\java\com\globalvia\genovias\api\models\base                                                                                   |          3 |         14 |         36 |         10 |         60 |
| src\main\java\com\globalvia\genovias\api\models\dto                                                                                    |         11 |        248 |          0 |        103 |        351 |
| src\main\java\com\globalvia\genovias\api\models\entities                                                                               |         13 |        572 |          0 |        135 |        707 |
| src\main\java\com\globalvia\genovias\api\models\factory                                                                                |          1 |         10 |          0 |          4 |         14 |
| src\main\java\com\globalvia\genovias\api\repositories                                                                                  |         12 |         58 |          0 |         54 |        112 |
| src\main\java\com\globalvia\genovias\api\response                                                                                      |          2 |         14 |          0 |          8 |         22 |
| src\main\java\com\globalvia\genovias\api\services                                                                                      |         11 |        332 |         12 |        128 |        472 |
| src\main\java\com\globalvia\genovias\api\services (Files)                                                                              |          1 |         15 |          0 |          6 |         21 |
| src\main\java\com\globalvia\genovias\api\services\base                                                                                 |          3 |        150 |         12 |         49 |        211 |
| src\main\java\com\globalvia\genovias\api\services\base (Files)                                                                         |          2 |        128 |         12 |         38 |        178 |
| src\main\java\com\globalvia\genovias\api\services\base\interfaces                                                                      |          1 |         22 |          0 |         11 |         33 |
| src\main\java\com\globalvia\genovias\api\services\dto                                                                                  |          7 |        167 |          0 |         73 |        240 |
| src\main\java\com\globalvia\genovias\api\validator                                                                                     |          3 |         40 |          2 |         21 |         63 |
| src\main\java\com\globalvia\genovias\api\validator\base                                                                                |          3 |         40 |          2 |         21 |         63 |
| src\main\resources                                                                                                                     |          1 |         10 |          0 |          5 |         15 |
| src\test                                                                                                                               |          1 |          9 |          0 |          5 |         14 |
| src\test\java                                                                                                                          |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com                                                                                                                      |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\globalvia                                                                                                            |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\globalvia\genovias                                                                                                   |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\globalvia\genovias\api                                                                                               |          1 |          9 |          0 |          5 |         14 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                               | language        | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\PC REPORTES\Desktop\Spring\api\.mvn\wrapper\maven-wrapper.properties                                                          | Java Properties |          3 |         16 |          1 |         20 |
| c:\Users\PC REPORTES\Desktop\Spring\api\mvnw.cmd                                                                                       | Batch           |        108 |         26 |         16 |        150 |
| c:\Users\PC REPORTES\Desktop\Spring\api\pom.xml                                                                                        | XML             |        112 |          0 |         12 |        124 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\ApiApplication.java                                   | Java            |          9 |          0 |          4 |         13 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\auth\config\filters\JwtTokenValidator.java            | Java            |         42 |          0 |         14 |         56 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\auth\config\security\SecurityConfig.java              | Java            |         55 |          0 |         11 |         66 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\auth\controller\AuthController.java                   | Java            |         27 |          0 |         12 |         39 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\auth\dto\AuthCreateRoleRequest.java                   | Java            |          8 |          0 |          3 |         11 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\auth\dto\AuthCreateUserRequest.java                   | Java            |          9 |          0 |          2 |         11 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\auth\dto\AuthLoginRequest.java                        | Java            |          5 |          0 |          2 |          7 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\auth\dto\AuthResponse.java                            | Java            |          9 |          0 |          2 |         11 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\auth\model\RoleEntity.java                            | Java            |         26 |          0 |          5 |         31 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\auth\model\UserEntity.java                            | Java            |         32 |          0 |         11 |         43 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\auth\repository\RoleRepository.java                   | Java            |          7 |          0 |          5 |         12 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\auth\repository\UserRepository.java                   | Java            |          9 |          0 |          7 |         16 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\auth\service\UserDetailServiceImpl.java               | Java            |         89 |          1 |         35 |        125 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\auth\util\JwtUtils.java                               | Java            |         61 |          0 |         15 |         76 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\config\BaseServiceConfig.java                         | Java            |         97 |          2 |         16 |        115 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\config\EntityFactoryConfig.java                       | Java            |         73 |          0 |         15 |         88 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\config\InvalidOperationException.java                 | Java            |          6 |          0 |          2 |          8 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\config\ModelMapperConfig.java                         | Java            |         11 |          0 |          4 |         15 |
